컬렉션명,페이지_수,쿼리,Recall_5_평균,Recall_5_표준편차,Recall_10_평균,Recall_10_표준편차,Brute_Force_시간_ms,HNSW_시간_ms
collection_0016_16000pages,16000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.6999999999999998,1.1102230246251565e-16,1068.3039824167888,7.1019331614176435
collection_0016_16000pages,16000,강화학습 기법,1.0,0.0,1.0,0.0,1046.2069511413574,2.5371710459391275
collection_0016_16000pages,16000,신경망 아키텍처,1.0,0.0,0.9,0.0,1121.1171944936116,2.345879872639974
collection_0018_17000pages,17000,딥러닝 모델의 성능 향상 방법,1.0,0.0,0.9,0.0,1128.803014755249,13.960123062133789
collection_0018_17000pages,17000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1186.952034632365,2.5084813435872397
collection_0018_17000pages,17000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,1096.0304737091064,4.530747731526692
collection_0018_17000pages,17000,강화학습 기법,1.0,0.0,1.0,0.0,1106.1681906382244,3.7972132364908853
collection_0018_17000pages,17000,신경망 아키텍처,1.0,0.0,0.9,0.0,1188.8964176177979,0.0
collection_0019_18000pages,18000,딥러닝 모델의 성능 향상 방법,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,1263.957182566325,15.913248062133789
collection_0019_18000pages,18000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.6999999999999998,1.1102230246251565e-16,1198.6895402272542,5.417823791503906
collection_0019_18000pages,18000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,1172.4000771840413,5.315701166788737
collection_0019_18000pages,18000,강화학습 기법,1.0,0.0,0.9,0.0,1142.5286134084065,1.8444061279296875
collection_0019_18000pages,18000,신경망 아키텍처,1.0,0.0,1.0,0.0,1261.151870091756,10.35610834757487
collection_0020_19000pages,19000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1334.5945676167805,13.928810755411783
collection_0020_19000pages,19000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1332.0964972178142,13.875563939412435
collection_0020_19000pages,19000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1375.2644856770833,3.8442611694335938
collection_0020_19000pages,19000,강화학습 기법,1.0,0.0,0.9,0.0,1298.6507415771484,10.528802871704102
collection_0020_19000pages,19000,신경망 아키텍처,1.0,0.0,0.9,0.0,1340.5249118804932,0.0
collection_0021_20000pages,20000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1421.7957655588787,20.69886525472005
collection_0021_20000pages,20000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1328.6699453989665,8.792241414388021
collection_0021_20000pages,20000,컴퓨터 비전 알고리즘,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,1416.8405532836914,6.014267603556315
collection_0021_20000pages,20000,강화학습 기법,1.0,0.0,1.0,0.0,1353.6066214243572,3.0105908711751304
collection_0021_20000pages,20000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,1388.6159261067708,3.845055898030599
collection_0022_21000pages,21000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1455.0102551778157,24.70842997233073
collection_0022_21000pages,21000,자연어 처리 기술,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,1448.5406080881755,0.8151531219482422
collection_0022_21000pages,21000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,1476.9329229990642,6.128152211507161
collection_0022_21000pages,21000,강화학습 기법,1.0,0.0,1.0,0.0,1394.5526281992595,0.0
collection_0022_21000pages,21000,신경망 아키텍처,1.0,0.0,1.0,0.0,1469.663381576538,0.0
collection_0023_22000pages,22000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1697.8881359100342,13.19591204325358
collection_0023_22000pages,22000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1535.438855489095,0.0
collection_0023_22000pages,22000,컴퓨터 비전 알고리즘,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1568.8295364379883,2.8939247131347656
collection_0023_22000pages,22000,강화학습 기법,1.0,0.0,1.0,0.0,1652.7351538340251,0.0
collection_0023_22000pages,22000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.6999999999999998,1.1102230246251565e-16,1578.2469113667805,0.0
collection_0024_23000pages,23000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1571.7170238494873,18.08754603068034
collection_0024_23000pages,23000,자연어 처리 기술,1.0,0.0,1.0,0.0,1576.189915339152,9.984890619913736
collection_0024_23000pages,23000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,1546.5402603149414,5.623340606689453
collection_0024_23000pages,23000,강화학습 기법,1.0,0.0,1.0,0.0,1613.8680775960286,3.7218729654947915
collection_0024_23000pages,23000,신경망 아키텍처,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,1534.352699915568,0.0
collection_0025_24000pages,24000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1737.321933110555,17.45883623758952
collection_0025_24000pages,24000,자연어 처리 기술,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1647.3532517751057,1.3357003529866536
collection_0025_24000pages,24000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.6999999999999998,1.1102230246251565e-16,1647.9742527008057,1.0094642639160156
collection_0025_24000pages,24000,강화학습 기법,1.0,0.0,1.0,0.0,1568.386713663737,7.141828536987305
collection_0025_24000pages,24000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,1659.8694324493408,1.3899803161621094
collection_0026_25000pages,25000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1741.6115601857502,18.654823303222656
collection_0026_25000pages,25000,자연어 처리 기술,0.6,0.0,0.6,0.0,1758.5874398549397,4.46009635925293
collection_0026_25000pages,25000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,1689.0216668446858,2.707242965698242
collection_0026_25000pages,25000,강화학습 기법,1.0,0.0,1.0,0.0,1747.5756009419758,0.0
collection_0026_25000pages,25000,신경망 아키텍처,1.0,0.0,0.9,0.0,1785.5616410573323,7.167736689249675
collection_0027_26000pages,26000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,1834.792137145996,13.81246248881022
